name;scale;err;d_head;err.1;rad_core;err.2;rho_rel;err.3;d_cq;err.9;nu_rpa;err.10
P615ave.dat;0.1301;0.0009;16.4;0.1;9.99;0.05;0.111;0.002;104.0;1.0;38.0;1.0
P615m01.dat;0.123;0.003;19.3;0.3;9.5;0.1;0.08;0.003;80.0;1.0;87.0;5.0
6ave.dat;0.144;0.001;19.3;0.3;8.1;0.2;0.06;0.003;105.0;1.0;38.5;0.9
P6d3m_01.dat;0.121;0.003;20.6;0.6;8.8;0.3;0.063;0.006;85.0;1.0;70.0;3.0
100ave.dat;0.184;0.003;17.5;0.6;8.2;0.3;0.069;0.008;81.0;2.0;25.2;0.9
100_01.dat;0.144;0.005;19.4;1.0;8.0;0.5;0.06;0.01;79.0;3.0;39.0;3.0
55ave.dat;0.089;0.001;17.0;0.6;8.2;0.3;0.074;0.008;85.0;3.0;15.8;0.7
55_01.dat;0.069;0.003;21.0;1.0;7.4;0.7;0.05;0.01;97.0;8.0;22.0;3.0
75ave.dat;0.126;0.001;17.6;0.4;8.0;0.2;0.067;0.005;92.0;2.0;20.4;0.6
75_01.dat;0.09;0.003;23.3;0.8;6.0;0.5;0.027;0.005;93.0;7.0;20.0;2.0
