X Intensity;DTAB200 1;DTAB200 2;DTAB200 3
0,4;0;0;0
0,463;0;0;0
0,536;0;0;0
0,621;0;0;0
0,719;0;0;0
0,833;0;0;0
0,965;0;0;0
1,12;1,79;0;0
1,29;21,8;2,01;0
1,5;11,8;18,3;5,52
1,74;0;9,05;18,9
2,01;0;0;9,32
2,33;0;0;0
2,7;0;0;0
3,12;0;0;0
3,62;0;0;0
4,19;0;0;0
4,85;0;0;0
5,61;0;0;0
6,5;0;0;0
7,53;0;0;0
8,72;0;0;0
10,1;0;0;0
11,7;0;0;0
13,5;0;0;0
15,7;0;0;0
18,2;0;0;0
21;0;0;0
24,4;0;0;0
28,2;0;0;0
32,7;0;0;0
37,8;0;0;0
43,8;0;0;0
50,7;0;0;0
58,8;0;0;0
68,1;0;0;0
78,8;0;0;0
91,3;0;0;0
106;0;0;0
122;52;0;0
142;12,7;0;0
164;0;0;0
190;0;59,1;66,2
220;0;11,6;0
255;0;0;0
295;0;0;0
342;0;0;0
396;0;0;0
459;0;0;0
531;0;0;0
615;0;0;0
712;0;0;0
825;0;0;0
955;0;0;0
1,11E+03;0;0;0
1,28E+03;0;0;0
1,48E+03;0;0;0
1,72E+03;0;0;0
1,99E+03;0;0;0
2,30E+03;0;0;0
2,67E+03;0;0;0
3,09E+03;0;0;0
3,58E+03;0;0;0
4,15E+03;0;0;0
4,80E+03;0;0;0
5,56E+03;0;0;0
6,44E+03;0;0;0
7,46E+03;0;0;0
8,63E+03;0;0;0
