Agua1 w;Agua1 G1;Agua1 G2;Agua1 T
0,006283;12,95;18,66;24,99
0,007406;16,09;20,17;24,99
0,008730;18,76;21,01;24,97
0,01029;22,09;21,74;25,0
0,01213;25,90;22,27;25,0
0,01430;29,32;21,90;24,98
0,01686;32,11;21,57;24,97
0,01987;35,52;20,45;24,98
0,02342;38,13;19,52;25,0
0,02761;40,94;17,98;24,99
0,03254;42,91;16,71;24,99
0,03836;44,50;15,13;24,99
0,04522;46,45;13,86;25,01
0,05330;47,64;12,19;25,0
0,06283;48,92;10,68;24,98
0,07406;49,36;9,489;25,0
0,08730;50,01;8,147;24,97
0,1029;50,66;7,236;25,0
0,1213;51,22;6,432;25,03
0,1430;51,52;5,261;24,94
0,1686;51,78;4,723;25,0
0,1987;51,92;4,108;25,0
0,2342;52,14;3,615;25,01
0,2761;52,31;3,213;25,05
0,3254;52,45;2,787;25,02
0,3836;52,49;2,265;24,86
0,4522;52,61;2,018;24,95
0,5330;52,68;1,826;25,0
0,6283;52,72;1,627;25,0
0,7406;52,81;1,430;25,0
0,8730;52,86;1,296;25,0
1,029;52,93;1,137;25,0
1,213;53,10;1,040;25,0
1,430;52,98;0,9538;25,0
1,686;53,14;0,8839;25,0
1,987;53,13;0,8135;25,0
2,342;52,97;0,7952;25,0
2,761;53,50;0,7131;25,0
3,254;53,13;0,7682;25,0
3,836;53,95;0,7476;25,0
4,522;54,13;0,8045;25,0
5,330;52,68;1,149;25,0
6,283;53,29;0,9749;25,0
7,406;53,49;0,9212;25,0
8,730;53,58;0,8928;25,0
10,29;53,59;1,125;25,0
12,13;53,01;0,5149;25,0
14,30;54,24;0,7891;25,0
16,86;55,14;1,167;25,0
19,87;53,39;0,4260;25,0
23,42;53,78;0,3425;25,0
27,61;53,10;1,763;25,0
32,54;61,57;7,465;25,0
38,36;56,86;1,788;25,0
45,22;85,70;19,53;25,0
53,30;114,1;8,577;25,0
62,83;39,05;12,74;25,0
