Agua2 w;Agua2 G1;Agua2 G2;Agua2 T
0,06283;0,01068;0,7205;25,0
0,08115;0,01853;0,9257;25,0
0,1048;0,031219999999999998;1,192;25,0
0,1354;0,05152999999999999;1,536;25,0
0,1748;0,08551;1,982;25,0
0,2258;0,1394;2,552;25,0
0,2916;0,2281;3,279;25,0
0,3767;0,3709;4,217;25,0
0,4865;0,6069;5,416;25,0
0,6283;0,9874;6,9270000000000005;25,0
0,8115;1,6059999999999999;8,829;25,0
1,048;2,611;11,18;25,0
1,354;4,169;13,94;25,0
1,7480000000000002;6,555;17,09;25,0
2,258;10,01;20,27;25,0
2,9160000000000004;14,73;23,23;25,0
3,767;20,48;25,2;25,0
4,865;26,87;25,82;25,0
6,2829999999999995;33,09;24,76;25,0
8,115;38,5;22,6;25,0
10,48;42,85;19,73;25,0
13,54;46,02;16,78;25,0
17,48;48,19;13,99;25,0
22,58;49,69;11,5;25,0
29,16;50,68;9,382;25,0
37,67;52,47;6,625;25,0
48,65;52,06;6,051;25,0
62,83;29,4;0,2543;25,0
