adit;conc;nasal;pto_final;g0;g0err;tr0;trerr;a;aerr;b;berr;R2;R2lin
DMSO;15;60;23;34.45907280110934;0.1975884739414732;11.13448209818999;0.906117802562917;0.8726873483266013;0.2563005858545312;0.5652018336307711;0.10751334635862543;0.978;0.977
DMSO;15;100;26;51.11379545155352;0.23208187299548108;0.263184711482838;0.07104658721702127;0.138582118960833;0.5135242197842168;0.24348852700496218;0.6359478211673083;0.998;0.998
DMSO;15;260;26;50.06869345560247;0.2186797173089838;0.15784369505360718;0.0021901161989796715;0.0010000039618269015;0.0017028249992249512;1.666306859079263;0.4363579978833022;0.999;0.999
DMSO;25;60;24;25.64798071604302;0.34944393174943644;1.927807259215761;0.24885767692137334;0.6527990878758674;0.2723755453651526;0.5521245514620996;0.12605573205607096;0.972;0.971
DMSO;25;100;16;44.12638665069025;0.17130608149749357;0.2275098690885576;0.006330773458685375;0.017353312329054914;0.0255971171457298;0.8816870565751543;0.4180194422131094;0.999;0.999
DMSO;25;260;20;56.51647044339626;1.2636001934931675;0.040958991676307684;1.93366546886808;0.0010362282694049067;94.18223092501717;0.001;33.92394240432415;0.975;0.973
13BD;15;100;26;47.54856031146422;0.27836051164102266;867.7353476171955;5570025.187405948;19.381076094889064;12876.06458477651;0.0015215570794943909;1.0074976239965214;0.999;0.999
13BD;15;260;27;53.76878156502507;3.2354739783631854;0.010189304509496011;0.0010998929039142363;0.0010000000113797747;0.0005193972280515909;1.5843778661617838;0.9151459923918858;0.972;0.971
13BD;25;100;21;1.3926077344629573;0.3608178222188928;0.05909207433056109;0.017486724378320363;0.0010004382844145702;0.003121076709700098;3.0611878299686297;1.202010896888627;0.758;0.745
Glicerina;30;60;19;35.54488695570064;0.19356854895802283;7.107938151413552;0.3790858834238682;0.5710172798642374;0.1671943261505562;0.7167226275376334;0.16753635541381426;0.991;0.991
Glicerina;30;100;25;53.82535481943385;0.1461288079349793;0.44259699463163243;0.004984859365817619;0.013431185592545459;0.007861151512116391;1.2143665897359122;0.17574053829208533;0.999;0.999
Glicerina;30;260;24;52.0014015611877;0.12041848148689326;0.6613347597560534;0.007859376054369527;0.03959519069333345;0.014906691838577972;1.0044520685596445;0.12457009735523493;0.999;0.999
Glicerina;60;60;18;26.25305077004303;3.197862272207113;1.4010538099650245;241414.91847606745;7.845908854154249;344090.2929255371;0.0010000727694953796;43.66563243098367;0.900;0.894
Glicerina;60;100;25;43.56168956387782;0.20918875847147012;0.21715011637853132;0.004562704238655966;0.02090199771385168;0.011247237432092914;1.1379280709867075;0.1516743954170756;0.998;0.998
Glicerina;60;260;26;45.01591843994;0.22914659329648696;0.0514645342552157;0.00798702751327975;0.11186254721098242;0.24175341218036914;0.33032579549299335;0.3709748140547233;0.999;0.999
Sacarose;50;60;35;56.605184863086656;0.5489211731228711;37.01865313824354;4.506210022271279;2.58785524443126;0.4210773584259221;0.38488334769503973;0.040227053616846496;0.959;0.958
Sacarose;50;100;26;60.07275357934848;0.2258910795614493;0.2564403464109624;0.003478610422694348;0.01003621093078691;0.004460695340817796;1.338162213552896;0.11881024456061161;0.999;0.999
Sacarose;50;260;26;56.00758656119181;0.44864911208811226;2.907394881316389;0.13407306727186635;0.35804397610842303;0.10712837057778309;0.7513095414285399;0.07867776148045946;0.984;0.984
Ureia;5;60;18;42.76207986605873;0;54.793797132399426;0;90.61256522560016;0;206.96610211758565;0;0.989;0.988
Ureia;5;100;34;63.00720361590614;0.16309163391333759;0.7822212166100956;0.013135846073108717;0.04426547503689724;0.026315080060681707;0.845486108488279;0.19509073087350384;0.999;0.999
Ureia;5;260;23;50.972322382197156;0.10621428133125527;2.623180870563351;0.03432938165989764;0.11177865194221281;0.03457388385570756;0.8687358753032832;0.1259230220213959;0.999;0.999
Ureia;15;60;23;35.3180744819208;0.24517941274298727;18.445853626679696;2.940830090850163;1.268859346494573;0.47329188494654;0.48750377842020504;0.1320077302810647;0.940;0.938
Ureia;15;100;23;54.33437067162878;0.0877113403981628;4.502415031747762;0.04602885309299121;0.14463689318831352;0.03440885443548634;0.8867975632310244;0.09651922750715575;0.999;0.999
Ureia;15;260;24;53.57157581997758;0.14238183869087917;1.5707533606325377;0.03400881946238787;0.13992353689484946;0.04677060742330286;0.7140731930482797;0.12271611399795868;0.999;0.999
Ureia;30;60;27;22.271092219216598;1.2264018556556804;999.9965753401739;428081.1777900911;16.97165004194101;171.81333296454613;0.03284017875949894;0.3131082355490128;0.807;0.799
Ureia;30;100;13;49.97521605978793;0.15241900455263765;7.057663586898708;0.2187283093975289;0.2768765825334371;0.10211506006055954;0.7566082609109815;0.22362035165236974;0.998;0.998
Ureia;30;260;25;50.202985498630426;0.16471681784644365;0.6177902698155465;0.017191370972627348;0.08371054202484668;0.044738054428935824;0.7024999440191804;0.16562072750264648;0.999;0.999
