Aditivo;Conc. Adit;Conc NaSal;Maxwell;err;OldroydB;err;Jeffreys;err;Dois Modos1;err1;Dois Modos2;err2
DMSO;15;60;34.4;0.3;34.4;0.2;34.4;0.2;32.8;0.2;3.4;0.2
DMSO;15;100;51.1;0.2;51.1;0.3;51.1;0.2;48.0;1.0;5.0;1.0
DMSO;15;260;50.0;0.3;49.3;0.2;49.7;0.2;47.3;0.5;6.5;0.5
DMSO;25;60;25.4;0.5;25.2;0.4;25.3;0.4;22.2;0.2;8.0;0.3
DMSO;25;100;44.1;0.2;43.8;0.2;43.9;0.2;41.7;0.4;4.2;0.3
DMSO;25;260;57.0;1.0;61.0;2.0;56.52;0.0;8.0;13.0;50.0;12.0
13BD;15;100;47.6;0.3;47.6;0.4;47.55;0.0;6.0;5.0;43.0;4.0
13BD;15;260;55.0;4.0;13.0;2.0;23.0;3.0;13.0;5.0;209135.0;399371857.0
13BD;25;100;0.8;0.1;0.4;0.2;0.5;0.2;0.0;0.0;0.76;0.0
Glicerina;30;60;35.5;0.3;35.4;0.2;35.5;0.2;33.3;0.3;3.8;0.3
Glicerina;30;100;53.8;0.2;53.4;0.2;53.6;0.1;5.3;0.2;52.3;0.1
Glicerina;30;260;52.0;0.2;51.7;0.1;51.8;0.1;50.3;0.2;4.5;0.2
Glicerina;60;60;26.0;2.0;65.0;14.0;26.27;0.0;2.0;2.0;26.0;2.0
Glicerina;60;100;43.4;0.5;41.9;0.2;42.6;0.2;39.7;0.1;12.5;0.3
Glicerina;60;260;45.0;0.3;43.3;0.5;44.1;0.3;31.0;15.0;16.0;16.0
Sacarose;50;60;56.3;0.8;56.3;0.6;56.3;0.6;46.0;2.0;13.0;2.0
Sacarose;50;100;59.9;0.6;58.5;0.2;59.2;0.2;57.05;0.1;18.8;0.7
Sacarose;50;260;55.7;0.8;55.5;0.4;55.6;0.4;54.0;0.2;22.0;1.0
Ureia;5;60;42.8;0.3;42.7;0.3;42.7;0.3;14.0;1.0;30.0;1.0
Ureia;5;100;63.0;0.2;62.9;0.2;62.9;0.2;61.5;0.2;3.7;0.3
Ureia;5;260;51.0;0.2;50.9;0.1;50.9;0.1;49.3;0.3;2.5;0.3
Ureia;15;60;35.3;0.3;35.3;0.3;35.3;0.3;33.0;0.4;3.6;0.4
Ureia;15;100;54.3;0.1;54.3;0.1;54.3;0.1;53.5;0.1;1.9;0.2
Ureia;15;260;53.6;0.2;53.4;0.2;53.5;0.2;51.4;0.3;3.6;0.3
Ureia;30;60;23.0;1.0;20.0;1.0;21.0;1.0;9.8;0.9;20.0;1.0
Ureia;30;100;50.0;0.2;49.9;0.2;49.9;0.2;47.1;0.7;3.5;0.7
Ureia;30;260;50.2;0.2;50.0;0.2;50.1;0.2;47.1;0.3;4.9;0.3
