Aditivo;Conc. Adit;Conc NaSal;Maxwell;OldroydB;Jeffreys;Dois Modos;Garcia-Saraji
DMSO;15;60;0.96;0.971;0.971;0.9940000000000001;0.978
DMSO;15;100;0.998;0.998;0.998;0.9990000000000001;0.998
DMSO;15;260;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
DMSO;25;60;0.938;0.966;0.966;0.996;0.972
DMSO;25;100;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
DMSO;25;260;0.975;0.982;0.975;0.977;0.975
13BD;15;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
13BD;15;260;0.955;0.975;0.975;0.975;0.972
13BD;25;100;0.5710000000000001;0.602;0.602;0.5710000000000001;0.758
Glicerina;30;60;0.981;0.988;0.988;0.997;0.991
Glicerina;30;100;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Glicerina;30;260;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Glicerina;60;60;0.9009999999999999;0.941;0.9009999999999999;0.912;0.9
Glicerina;60;100;0.991;0.9990000000000001;0.9990000000000001;1.0;0.998
Glicerina;60;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
Sacarose;50;60;0.9159999999999999;0.9540000000000001;0.9540000000000001;0.953;0.9590000000000001
Sacarose;50;100;0.992;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Sacarose;50;260;0.951;0.9890000000000001;0.9890000000000001;0.998;0.9840000000000001
Ureia;5;60;0.9890000000000001;0.99;0.99;0.9990000000000001;0.9890000000000001
Ureia;5;100;0.9990000000000001;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Ureia;5;260;0.998;0.9990000000000001;0.9990000000000001;0.9990000000000001;0.9990000000000001
Ureia;15;60;0.9129999999999999;0.9279999999999999;0.9279999999999999;0.9690000000000001;0.94
Ureia;15;100;0.998;0.9990000000000001;0.9990000000000001;1.0;0.9990000000000001
Ureia;15;260;0.997;0.998;0.998;0.9990000000000001;0.9990000000000001
Ureia;30;60;0.765;0.7859999999999999;0.7859999999999999;0.938;0.807
Ureia;30;100;0.996;0.997;0.997;0.9990000000000001;0.998
Ureia;30;260;0.997;0.998;0.998;1.0;0.9990000000000001
