Aditivo;Conc. Adit;Conc NaSal;Maxwell;err;OldroydB;err;Jeffreys1;err;Jeffreys2;err;Dois Modos1;err;Dois Modos2;err
DMSO;15;60;9.3;0.3;9.4;0.2;9.4;0.2;0.0031;0.0008;10.1;0.1;0.32;0.04
DMSO;15;100;0.238;0.003;0.239;0.003;0.239;0.003;0.0001;0.0002;0.256;0.006;0.06;0.02
DMSO;15;260;0.154;0.002;0.159;0.002;0.159;0.002;0.0011;0.0002;0.166;0.002;0.022;0.004
DMSO;25;60;1.42;0.08;1.49;0.06;1.49;0.06;0.007;0.001;1.78;0.03;0.089;0.006
DMSO;25;100;0.218;0.002;0.222;0.002;0.222;0.002;0.0009;0.0002;0.233;0.002;0.043;0.006
DMSO;25;260;0.041;0.002;0.036;0.002;0.04;0.0;0.0;0.0;0.1;0.1;0.035;0.006
13BD;15;100;0.0515;0.0004;0.0515;0.0007;0.05;0.0;0.0;0.0;0.11;0.03;0.046;0.003
13BD;15;260;0.0081;0.0006;0.024;0.003;0.024;0.003;0.011;0.002;0.024;0.006;0.0;0.002
13BD;25;100;0.07;0.02;0.12;0.06;0.12;0.06;0.03;0.03;10.78;0.0;0.07;0.0
Glicerina;30;60;6.4;0.2;6.5;0.1;6.5;0.1;0.008;0.002;7.0;0.1;0.61;0.09
Glicerina;30;100;0.428;0.005;0.436;0.003;0.436;0.003;0.0014;0.0002;0.029;0.002;0.448;0.002
Glicerina;30;260;0.631;0.007;0.642;0.004;0.642;0.004;0.0018;0.0002;0.662;0.003;0.05;0.005
Glicerina;60;60;0.027;0.002;0.013;0.002;0.03;0.0;0.0;0.0;0.2;0.2;0.023;0.004
Glicerina;60;100;0.196;0.004;0.213;0.002;0.213;0.002;0.0034;0.0002;0.2248;0.0009;0.0196;0.0009
Glicerina;60;260;0.0444;0.0004;0.0464;0.0006;0.0464;0.0006;0.0009;0.0002;0.035;0.007;0.06;0.02
Sacarose;50;60;25.0;1.0;24.6;1.0;24.6;1.0;0.005;0.0007;33.0;2.0;3.1;0.9
Sacarose;50;100;0.24;0.005;0.255;0.002;0.255;0.002;0.0027;0.0001;0.2622;0.0007;0.0109;0.0005
Sacarose;50;260;2.6;0.1;2.65;0.06;2.65;0.06;0.0047;0.0004;2.74;0.02;0.016;0.001
Ureia;5;60;55.0;1.0;55.0;1.0;55.0;1.0;0.04;0.02;26.0;2.0;75.0;2.0
Ureia;5;100;0.753;0.006;0.759;0.006;0.759;0.006;0.0008;0.0002;0.78;0.005;0.054;0.008
Ureia;5;260;2.53;0.02;2.54;0.02;2.54;0.02;0.0015;0.0003;2.64;0.02;0.31;0.06
Ureia;15;60;14.2;0.6;14.2;0.5;14.2;0.5;0.0029;0.001;16.0;0.5;0.9;0.2
Ureia;15;100;4.37;0.04;4.38;0.03;4.38;0.03;0.0013;0.0002;4.46;0.02;0.19;0.03
Ureia;15;260;1.47;0.02;1.48;0.01;1.48;0.01;0.0014;0.0003;1.55;0.01;0.16;0.02
Ureia;30;60;0.1;0.01;0.15;0.02;0.15;0.02;0.005;0.002;0.55;0.09;0.03;0.004
Ureia;30;100;6.71;0.09;6.75;0.08;6.75;0.08;0.0029;0.0009;7.2;0.1;1.5;0.3
Ureia;30;260;0.573;0.007;0.581;0.006;0.581;0.006;0.0012;0.0002;0.622;0.004;0.091;0.008
