RH365 w;RH365 G1;RH365 G2;RH365 T
0,0628;0,205;3,04;25,0
0,0811;0,339;3,90;25,0
0,105;0,562;5,00;25,0
0,135;0,927;6,41;25,0
0,175;1,52;8,15;25,0
0,226;2,50;10,3;25,0
0,292;4,00;12,8;25,0
0,377;6,25;15,6;25,0
0,486;9,53;18,5;25,0
0,628;13,9;21,0;25,0
0,811;19,1;22,5;25,0
1,05;24,8;23,0;25,0
1,35;30,2;21,9;25,0
1,75;35,0;20,1;25,0
2,26;38,8;17,7;25,0
2,92;41,8;15,1;25,0
3,77;44,0;12,6;25,0
4,86;45,0;10,3;25,0
6,28;46,3;8,45;25,0
8,11;47,1;6,89;25,0
10,5;47,7;5,59;25,0
13,5;48,1;4,68;25,0
17,5;48,7;3,73;25,0
22,6;48,7;3,51;25,0
29,2;49,7;2,62;25,0
37,7;52,1;3,21;25,0
48,6;58,0;12,0;25,0
62,8;76,6;2,87;25,0
