Agua2 GP;Agua2 Eta;Agua2 T;Agua2 Tau
9,988e-05;35,09;25,0;0,003505
0,0001367;24,69;25,0;0,0033740000000000003
0,0001871;19,12;25,0;0,0035770000000000003
0,0002556;19,24;25,0;0,004918
0,00034960000000000004;16,63;25,0;0,005814
0,0004758;16,37;25,0;0,007790999999999999
0,0006545;12,75;25,0;0,008346
0,0008952;11,74;25,0;0,01051
0,001224;15,53;25,0;0,01902
0,001673;12,83;25,0;0,02147
0,002292;11,52;25,0;0,0264
0,0031100000000000004;13,25;25,0;0,0412
0,004257;10,91;25,0;0,04643
0,00588;12,05;25,0;0,07084
0,00801;11,71;25,0;0,09381
0,01093;11,69;25,0;0,1278
0,01495;11,53;25,0;0,1724
0,02045;11,39;25,0;0,233
0,027960000000000002;11,34;25,0;0,3171
0,038239999999999996;11,3;25,0;0,432
0,0523;11,26;25,0;0,5887
0,07151;11,31;25,0;0,8087
0,0978;11,25;25,0;1,1
0,1337;11,24;25,0;1,5019999999999998
0,1829;11,22;25,0;2,051
0,2501;11,15;25,0;2,7880000000000003
0,342;11,14;25,0;3,8089999999999997
0,4677;11,12;25,0;5,202000000000001
0,6395;11,02;25,0;7,05
0,8745;10,93;25,0;9,56
1,196;10,84;25,0;12,96
1,635;10,64;25,0;17,4
2,2359999999999998;10,27;25,0;22,96
3,0580000000000003;9,711;25,0;29,7
4,1819999999999995;8,883;25,0;37,15
5,718999999999999;7,494;25,0;42,86
7,821000000000001;5,649;25,0;44,18
10,69;4,1739999999999995;25,0;44,64
14,63;3,09;25,0;45,19
20,0;2,244;25,0;44,89
